Order ID,Order Date,Customer ID,Product ID,Quantity,Customer Name,Email,Country,Coffee Type Name,Coffee Type,Roast Type Full,Roast Type,Size, Unit Price , Sales ,Loyalty Card
ITA-87418-783,22-May-2020,39396-12890-PE,R-D-2.5,2,Terence Vanyutin,rscholarc@nyu.edu,United States,Robusta,Rob,Dark,D,2.5 kg, $20.59 , $41.17 ,No
GNZ-46006-527,05-Apr-2022,95875-73336-RG,L-D-0.2,3,Patrice Trobe,tvanyutind@wix.com,United States,Liberica,Lib,Dark,D,0.2 kg, $3.89 , $11.66 ,Yes
FYQ-78248-319,07-Jun-2022,25473-43727-BY,R-M-2.5,5,Llywellyn Oscroft,ptrobee@wunderground.com,United States,Robusta,Rob,Medium,M,2.5 kg, $22.89 , $114.43 ,No
VAU-44387-624,20-Mar-2019,99643-51048-IQ,A-M-0.2,6,Minni Alabaster,loscroftf@ebay.co.uk,United States,Arabica,Ara,Medium,M,0.2 kg, $3.38 , $20.25 ,No
RDW-33155-159,19-Oct-2019,62173-15287-CU,A-L-1,6,Rhianon Broxup,malabasterg@hexun.com,United States,Arabica,Ara,Light,L,1.0 kg, $12.95 , $77.70 ,No
TDZ-59011-211,13-Jun-2019,57611-05522-ST,R-D-2.5,4,Pall Redford,rbroxuph@jimdo.com,Ireland,Robusta,Rob,Dark,D,2.5 kg, $20.59 , $82.34 ,Yes
IDU-25793-399,04-Dec-2020,76664-37050-DT,A-M-0.2,5,Aurea Corradino,predfordi@ow.ly,United States,Arabica,Ara,Medium,M,0.2 kg, $3.38 , $16.88 ,Yes
IDU-25793-399,04-Dec-2020,76664-37050-DT,E-D-0.2,4,Aurea Corradino,predfordi@ow.ly,United States,Excelsa,Exc,Dark,D,0.2 kg, $3.65 , $14.58 ,Yes
NUO-20013-488,04-Dec-2020,03090-88267-BQ,A-D-0.2,6,Avrit Davidowsky,,United States,Arabica,Ara,Dark,D,0.2 kg, $2.99 , $17.91 ,No
UQU-65630-479,22-Jan-2021,37651-47492-NC,R-M-2.5,4,Annabel Antuk,adavidowskyl@netvibes.com,United States,Robusta,Rob,Medium,M,2.5 kg, $22.89 , $91.54 ,Yes
FEO-11834-332,11-Feb-2022,95399-57205-HI,A-D-0.2,4,Iorgo Kleinert,aantukm@kickstarter.com,United States,Arabica,Ara,Dark,D,0.2 kg, $2.99 , $11.94 ,Yes
TKY-71558-096,15-Sep-2021,24010-66714-HW,A-M-1,1,Chrisy Blofeld,ikleinertn@timesonline.co.uk,United States,Arabica,Ara,Medium,M,1.0 kg, $11.25 , $11.25 ,No
OXY-65322-253,24-Oct-2020,07591-92789-UA,E-M-0.2,3,Culley Farris,cblofeldo@amazon.co.uk,United States,Excelsa,Exc,Medium,M,0.2 kg, $4.13 , $12.38 ,Yes
EVP-43500-491,20-Feb-2019,49231-44455-IC,A-M-0.5,4,Selene Shales,,United States,Arabica,Ara,Medium,M,0.5 kg, $6.75 , $27.00 ,Yes
WAG-26945-689,08-Oct-2019,50124-88608-EO,A-M-0.2,5,Vivie Danneil,sshalesq@umich.edu,Ireland,Arabica,Ara,Medium,M,0.2 kg, $3.38 , $16.88 ,No
CHE-78995-767,02-Aug-2022,00888-74814-UZ,A-D-0.5,3,Theresita Newbury,vdanneilr@mtv.com,Ireland,Arabica,Ara,Dark,D,0.5 kg, $5.97 , $17.91 ,No
RYZ-14633-602,20-Feb-2019,14158-30713-OB,A-D-1,4,Mozelle Calcutt,tnewburys@usda.gov,Ireland,Arabica,Ara,Dark,D,1.0 kg, $9.95 , $39.80 ,Yes
WOQ-36015-429,25-Sep-2021,51427-89175-QJ,L-M-0.2,5,Adrian Swaine,mcalcuttt@baidu.com,United States,Liberica,Lib,Medium,M,0.2 kg, $4.37 , $21.83 ,No
WOQ-36015-429,25-Sep-2021,51427-89175-QJ,A-D-0.5,6,Adrian Swaine,mcalcuttt@baidu.com,United States,Arabica,Ara,Dark,D,0.5 kg, $5.97 , $35.82 ,No
WOQ-36015-429,25-Sep-2021,51427-89175-QJ,L-M-0.5,6,Adrian Swaine,mcalcuttt@baidu.com,United States,Liberica,Lib,Medium,M,0.5 kg, $8.73 , $52.38 ,No
SCT-60553-454,17-Jul-2021,39123-12846-YJ,L-L-0.2,5,Gallard Gatheral,nbasezziw@webeden.co.uk,United States,Liberica,Lib,Light,L,0.2 kg, $4.76 , $23.78 ,No
GFK-52063-244,29-Jun-2020,44981-99666-XB,L-L-0.5,6,Una Welberry,ggatheralx@123-reg.co.uk,United Kingdom,Liberica,Lib,Light,L,0.5 kg, $9.51 , $57.06 ,Yes
AMM-79521-378,01-Jun-2021,24825-51803-CQ,A-D-0.5,6,Faber Eilhart,uwelberryy@ebay.co.uk,United States,Arabica,Ara,Dark,D,0.5 kg, $5.97 , $35.82 ,No
QUQ-90580-772,06-Feb-2021,77634-13918-GJ,L-M-0.2,2,Zorina Ponting,feilhartz@who.int,United States,Liberica,Lib,Medium,M,0.2 kg, $4.37 , $8.73 ,No
LGD-24408-274,25-Apr-2019,13694-25001-LX,L-L-0.5,3,Silvio Strase,zponting10@altervista.org,United States,Liberica,Lib,Light,L,0.5 kg, $9.51 , $28.53 ,No
HCT-95608-959,25-Apr-2020,08523-01791-TI,R-M-2.5,5,Dorie de la Tremoille,sstrase11@booking.com,United States,Robusta,Rob,Medium,M,2.5 kg, $22.89 , $114.43 ,No
OFX-99147-470,24-Nov-2021,49860-68865-AB,R-M-1,6,Hy Zanetto,dde12@unesco.org,United States,Robusta,Rob,Medium,M,1.0 kg, $9.95 , $59.70 ,Yes
LUO-37559-016,19-Apr-2021,21240-83132-SP,L-M-1,3,Jessica McNess,,United States,Liberica,Lib,Medium,M,1.0 kg, $14.55 , $43.65 ,No
XWC-20610-167,07-Jul-2022,08350-81623-TF,E-D-0.2,2,Lorenzo Yeoland,,United States,Excelsa,Exc,Dark,D,0.2 kg, $3.65 , $7.29 ,Yes
GPU-79113-136,22-May-2019,73284-01385-SJ,R-D-0.2,3,Abigail Tolworthy,lyeoland15@pbs.org,United States,Robusta,Rob,Dark,D,0.2 kg, $2.69 , $8.06 ,Yes
ULR-52653-960,04-Oct-2021,04152-34436-IE,L-L-2.5,2,Maurie Bartol,atolworthy16@toplist.cz,United States,Liberica,Lib,Light,L,2.5 kg, $36.46 , $72.91 ,No
HPI-42308-142,11-Apr-2020,06631-86965-XP,E-M-0.5,2,Olag Baudassi,,United States,Excelsa,Exc,Medium,M,0.5 kg, $8.25 , $16.50 ,Yes
XHI-30227-581,31-Jan-2022,54619-08558-ZU,L-D-2.5,6,Petey Kingsbury,obaudassi18@seesaa.net,United States,Liberica,Lib,Dark,D,2.5 kg, $29.79 , $178.71 ,No
DJH-05202-380,07-Nov-2019,85589-17020-CX,E-M-2.5,2,Donna Baskeyfied,pkingsbury19@comcast.net,United States,Excelsa,Exc,Medium,M,2.5 kg, $31.63 , $63.25 ,Yes
VMW-26889-781,28-Jun-2019,36078-91009-WU,A-L-0.2,2,Arda Curley,,United States,Arabica,Ara,Light,L,0.2 kg, $3.89 , $7.77 ,Yes
DBU-81099-586,11-Sep-2020,15770-27099-GX,A-D-2.5,4,Raynor McGilvary,acurley1b@hao123.com,United States,Arabica,Ara,Dark,D,2.5 kg, $22.89 , $91.54 ,No
PQA-54820-810,17-Aug-2022,91460-04823-BX,A-L-1,3,Isis Pikett,rmcgilvary1c@tamu.edu,United States,Arabica,Ara,Light,L,1.0 kg, $12.95 , $38.85 ,No
XKB-41924-202,19-Aug-2022,45089-52817-WN,L-D-0.5,2,Inger Bouldon,ipikett1d@xinhuanet.com,United States,Liberica,Lib,Dark,D,0.5 kg, $7.77 , $15.54 ,No
DWZ-69106-473,15-May-2019,76447-50326-IC,L-L-2.5,4,Karry Flanders,ibouldon1e@gizmodo.com,Ireland,Liberica,Lib,Light,L,2.5 kg, $36.46 , $145.82 ,Yes
YHV-68700-050,11-Sep-2019,26333-67911-OL,R-M-0.5,5,Hartley Mattioli,kflanders1f@over-blog.com,United Kingdom,Robusta,Rob,Medium,M,0.5 kg, $5.97 , $29.85 ,No
YHV-68700-050,11-Sep-2019,26333-67911-OL,L-L-2.5,2,Hartley Mattioli,kflanders1f@over-blog.com,United Kingdom,Liberica,Lib,Light,L,2.5 kg, $36.46 , $72.91 ,No
KRB-88066-642,16-Mar-2021,22107-86640-SB,L-M-1,5,Archambault Gillard,hrubberts1h@google.com.hk,United States,Liberica,Lib,Medium,M,1.0 kg, $14.55 , $72.75 ,No
LQU-08404-173,03-Dec-2020,09960-34242-LZ,L-L-1,3,Salomo Cushworth,agillard1i@issuu.com,United States,Liberica,Lib,Light,L,1.0 kg, $15.85 , $47.55 ,No
CWK-60159-881,27-Jan-2020,04671-85591-RT,E-D-0.2,3,Theda Grizard,,United States,Excelsa,Exc,Dark,D,0.2 kg, $3.65 , $10.94 ,Yes
EEG-74197-843,17-Jul-2022,25729-68859-UA,E-L-1,4,Rozele Relton,tgrizard1k@odnoklassniki.ru,United States,Excelsa,Exc,Light,L,1.0 kg, $14.85 , $59.40 ,No
UCZ-59708-525,04-Mar-2022,05501-86351-NX,L-D-2.5,3,Willa Rolling,rrelton1l@stanford.edu,United States,Liberica,Lib,Dark,D,2.5 kg, $29.79 , $89.36 ,Yes
HUB-47311-849,07-Dec-2021,04521-04300-OK,L-M-0.5,3,Stanislaus Gilroy,,United States,Liberica,Lib,Medium,M,0.5 kg, $8.73 , $26.19 ,Yes
WYM-17686-694,25-Feb-2021,58689-55264-VK,A-D-2.5,5,Correy Cottingham,sgilroy1n@eepurl.com,United States,Arabica,Ara,Dark,D,2.5 kg, $22.89 , $114.43 ,No
ZYQ-15797-695,25-Feb-2019,79436-73011-MM,R-D-0.5,5,Pammi Endacott,ccottingham1o@wikipedia.org,United Kingdom,Robusta,Rob,Dark,D,0.5 kg, $5.37 , $26.85 ,Yes
EEJ-16185-108,09-Feb-2019,65552-60476-KY,L-L-0.2,5,Nona Linklater,,United States,Liberica,Lib,Light,L,0.2 kg, $4.76 , $23.78 ,Yes
RWR-77888-800,07-Feb-2020,69904-02729-YS,A-M-0.5,1,Annadiane Dykes,,United States,Arabica,Ara,Medium,M,0.5 kg, $6.75 , $6.75 ,No
LHN-75209-742,23-Mar-2020,01433-04270-AX,R-M-0.5,6,Felecia Dodgson,adykes1r@eventbrite.com,United States,Robusta,Rob,Medium,M,0.5 kg, $5.97 , $35.82 ,Yes
TIR-71396-998,06-Mar-2022,14204-14186-LA,R-D-2.5,4,Angelia Cockrem,,United States,Robusta,Rob,Dark,D,2.5 kg, $20.59 , $82.34 ,Yes
RXF-37618-213,15-Apr-2022,32948-34398-HC,R-L-0.5,1,Belvia Umpleby,acockrem1t@engadget.com,United States,Robusta,Rob,Light,L,0.5 kg, $7.17 , $7.17 ,Yes
ANM-16388-634,19-Nov-2021,77343-52608-FF,L-L-0.2,2,Nat Saleway,bumpleby1u@soundcloud.com,United States,Liberica,Lib,Light,L,0.2 kg, $4.76 , $9.51 ,No
WYL-29300-070,16-Oct-2019,42770-36274-QA,R-M-0.2,1,Hayward Goulter,nsaleway1v@dedecms.com,United States,Robusta,Rob,Medium,M,0.2 kg, $2.99 , $2.99 ,No
JHW-74554-805,26-Nov-2019,14103-58987-ZU,R-M-1,6,Gay Rizzello,hgoulter1w@abc.net.au,United Kingdom,Robusta,Rob,Medium,M,1.0 kg, $9.95 , $59.70 ,Yes
KYS-27063-603,30-Jun-2019,69958-32065-SW,E-L-2.5,4,Shannon List,grizzello1x@symantec.com,United States,Excelsa,Exc,Light,L,2.5 kg, $34.16 , $136.62 ,No
GAZ-58626-277,04-Jan-2021,69533-84907-FA,L-L-0.2,2,Shirlene Edmondson,slist1y@mapquest.com,Ireland,Liberica,Lib,Light,L,0.2 kg, $4.76 , $9.51 ,No
RPJ-37787-335,27-Oct-2020,76005-95461-CI,A-M-2.5,3,Aurlie McCarl,sedmondson1z@theguardian.com,United States,Arabica,Ara,Medium,M,2.5 kg, $25.88 , $77.63 ,No
LEF-83057-763,15-Jun-2021,15395-90855-VB,L-M-0.2,5,Alikee Carryer,,United States,Liberica,Lib,Medium,M,0.2 kg, $4.37 , $21.83 ,Yes
RPW-36123-215,19-Jul-2021,80640-45811-LB,E-L-0.5,2,Jennifer Rangall,,United States,Excelsa,Exc,Light,L,0.5 kg, $8.91 , $17.82 ,Yes
WLL-59044-117,23-Jul-2021,28476-04082-GR,R-D-1,6,Kipper Boorn,jrangall22@newsvine.com,Ireland,Robusta,Rob,Dark,D,1.0 kg, $8.95 , $53.70 ,Yes
AWT-22827-563,25-Jan-2020,12018-75670-EU,R-L-0.2,1,Melania Beadle,kboorn23@ezinearticles.com,Ireland,Robusta,Rob,Light,L,0.2 kg, $3.59 , $3.59 ,Yes
QLM-07145-668,09-May-2019,86437-17399-FK,E-D-0.2,2,Colene Elgey,,United States,Excelsa,Exc,Dark,D,0.2 kg, $3.65 , $7.29 ,No
HVQ-64398-930,30-Mar-2020,62979-53167-ML,A-M-0.5,6,Lothaire Mizzi,celgey25@webs.com,United States,Arabica,Ara,Medium,M,0.5 kg, $6.75 , $40.50 ,Yes
WRT-40778-247,13-Mar-2022,54810-81899-HL,R-L-1,4,Cletis Giacomazzo,lmizzi26@rakuten.co.jp,United States,Robusta,Rob,Light,L,1.0 kg, $11.95 , $47.80 ,No
SUB-13006-125,17-Apr-2019,26103-41504-IB,A-L-0.5,5,Ami Arnow,cgiacomazzo27@jigsy.com,United States,Arabica,Ara,Light,L,0.5 kg, $7.77 , $38.85 ,Yes
CQM-49696-263,25-Oct-2019,76534-45229-SG,L-L-2.5,3,Sheppard Yann,aarnow28@arizona.edu,United States,Liberica,Lib,Light,L,2.5 kg, $36.46 , $109.37 ,Yes
KXN-85094-246,13-Sep-2019,81744-27332-RR,L-M-2.5,3,Bunny Naulls,syann29@senate.gov,Ireland,Liberica,Lib,Medium,M,2.5 kg, $33.47 , $100.40 ,Yes
XOQ-12405-419,12-Apr-2020,91513-75657-PH,R-D-2.5,4,Hally Lorait,bnaulls2a@tiny.cc,United States,Robusta,Rob,Dark,D,2.5 kg, $20.59 , $82.34 ,Yes
HYF-10254-369,14-Nov-2019,30373-66619-CB,L-L-0.5,1,Zaccaria Sherewood,,United States,Liberica,Lib,Light,L,0.5 kg, $9.51 , $9.51 ,No
XXJ-47000-307,18-Jul-2019,31582-23562-FM,A-L-2.5,3,Jeffrey Dufaire,zsherewood2c@apache.org,United States,Arabica,Ara,Light,L,2.5 kg, $29.79 , $89.36 ,No
XXJ-47000-307,18-Jul-2019,31582-23562-FM,A-D-0.2,4,Jeffrey Dufaire,zsherewood2c@apache.org,United States,Arabica,Ara,Dark,D,0.2 kg, $2.99 , $11.94 ,No
ZDK-82166-357,03-Apr-2021,81431-12577-VD,A-M-1,3,Beitris Keaveney,bmcamish2e@tripadvisor.com,United States,Arabica,Ara,Medium,M,1.0 kg, $11.25 , $33.75 ,No
IHN-19982-362,29-Mar-2021,68894-91205-MP,R-L-1,3,Elna Grise,bkeaveney2f@netlog.com,United States,Robusta,Rob,Light,L,1.0 kg, $11.95 , $35.85 ,No
VMT-10030-889,15-Dec-2021,87602-55754-VN,A-L-1,6,Torie Gottelier,egrise2g@cargocollective.com,United States,Arabica,Ara,Light,L,1.0 kg, $12.95 , $77.70 ,No
NHL-11063-100,20-May-2020,39181-35745-WH,A-L-1,4,Loydie Langlais,tgottelier2h@vistaprint.com,Ireland,Arabica,Ara,Light,L,1.0 kg, $12.95 , $51.80 ,Yes
ROV-87448-086,02-Nov-2020,30381-64762-NG,A-M-2.5,4,Adham Greenhead,,United States,Arabica,Ara,Medium,M,2.5 kg, $25.88 , $103.50 ,No
DGY-35773-612,25-Jul-2020,17503-27693-ZH,E-L-1,3,Hamish MacSherry,agreenhead2j@dailymail.co.uk,United States,Excelsa,Exc,Light,L,1.0 kg, $14.85 , $44.55 ,Yes
YWH-50638-556,14-Mar-2019,89442-35633-HJ,E-L-0.5,4,Else Langcaster,,United Kingdom,Excelsa,Exc,Light,L,0.5 kg, $8.91 , $35.64 ,Yes
ISL-11200-600,02-Jul-2020,13654-85265-IL,A-D-0.2,6,Rudy Farquharson,elangcaster2l@spotify.com,Ireland,Arabica,Ara,Dark,D,0.2 kg, $2.99 , $17.91 ,Yes
LBZ-75997-047,17-Dec-2019,40946-22090-FP,A-M-2.5,6,Norene Magauran,,United States,Arabica,Ara,Medium,M,2.5 kg, $25.88 , $155.25 ,No
EUH-08089-954,06-Dec-2020,29050-93691-TS,A-D-0.2,2,Vicki Kirdsch,nmagauran2n@51.la,United States,Arabica,Ara,Dark,D,0.2 kg, $2.99 , $5.97 ,No
BLD-12227-251,04-Mar-2021,64395-74865-WF,A-M-0.5,2,Ilysa Whapple,vkirdsch2o@google.fr,United States,Arabica,Ara,Medium,M,0.5 kg, $6.75 , $13.50 ,No
OPY-30711-853,17-Jul-2021,81861-66046-SU,A-D-0.2,1,Ruy Cancellieri,iwhapple2p@com.com,Ireland,Arabica,Ara,Dark,D,0.2 kg, $2.99 , $2.99 ,No
DBC-44122-300,04-Nov-2020,13366-78506-KP,L-M-0.2,3,Aube Follett,,United States,Liberica,Lib,Medium,M,0.2 kg, $4.37 , $13.10 ,Yes
FJQ-60035-234,05-Apr-2021,08847-29858-HN,A-L-0.2,2,Rudiger Di Bartolomeo,,United States,Arabica,Ara,Light,L,0.2 kg, $3.89 , $7.77 ,Yes
HSF-66926-425,01-Mar-2020,00539-42510-RY,L-D-2.5,5,Nickey Youles,,Ireland,Liberica,Lib,Dark,D,2.5 kg, $29.79 , $148.93 ,Yes
LQG-41416-375,19-Oct-2021,45190-08727-NV,L-D-1,3,Dyanna Aizikovitz,nyoules2t@reference.com,Ireland,Liberica,Lib,Dark,D,1.0 kg, $12.95 , $38.85 ,Yes
VZO-97265-841,08-Jul-2022,87049-37901-FU,R-M-0.2,4,Bram Revel,daizikovitz2u@answers.com,United States,Robusta,Rob,Medium,M,0.2 kg, $2.99 , $11.94 ,No
MOR-12987-399,17-Aug-2019,34015-31593-JC,L-M-1,6,Emiline Priddis,brevel2v@fastcompany.com,United States,Liberica,Lib,Medium,M,1.0 kg, $14.55 , $87.30 ,No
UOA-23786-489,31-May-2020,90305-50099-SV,A-M-0.5,6,Queenie Veel,epriddis2w@nationalgeographic.com,United States,Arabica,Ara,Medium,M,0.5 kg, $6.75 , $40.50 ,Yes
AJL-52941-018,05-May-2020,55871-61935-MF,E-D-1,2,Lind Conyers,qveel2x@jugem.jp,United States,Excelsa,Exc,Dark,D,1.0 kg, $12.15 , $24.30 ,No
XSZ-84273-421,14-Apr-2019,15405-60469-TM,R-M-0.5,3,Pen Wye,lconyers2y@twitter.com,United States,Robusta,Rob,Medium,M,0.5 kg, $5.97 , $17.91 ,Yes
NUN-48214-216,29-Jul-2020,06953-94794-FB,A-M-0.5,4,Isahella Hagland,pwye2z@dagondesign.com,United States,Arabica,Ara,Medium,M,0.5 kg, $6.75 , $27.00 ,No
AKV-93064-769,12-Dec-2019,22305-40299-CY,L-D-0.5,1,Terry Sheryn,,United States,Liberica,Lib,Dark,D,0.5 kg, $7.77 , $7.77 ,Yes
BRB-40903-533,15-Jun-2022,09020-56774-GU,E-L-0.2,3,Marie-jeanne Redgrave,tsheryn31@mtv.com,United States,Excelsa,Exc,Light,L,0.2 kg, $4.46 , $13.37 ,Yes
GPR-19973-483,26-Jun-2019,92926-08470-YS,R-D-0.5,5,Betty Fominov,mredgrave32@cargocollective.com,United States,Robusta,Rob,Dark,D,0.5 kg, $5.37 , $26.85 ,No
XIY-43041-882,12-Oct-2021,07250-63194-JO,A-M-1,1,Shawnee Critchlow,bfominov33@yale.edu,United States,Arabica,Ara,Medium,M,1.0 kg, $11.25 , $11.25 ,No
YGY-98425-969,01-Apr-2019,63787-96257-TQ,L-M-1,1,Merrel Steptow,scritchlow34@un.org,Ireland,Liberica,Lib,Medium,M,1.0 kg, $14.55 , $14.55 ,No
MSB-08397-648,10-Mar-2021,49530-25460-RW,R-L-0.2,4,Carmina Hubbuck,msteptow35@earthlink.net,United States,Robusta,Rob,Light,L,0.2 kg, $3.59 , $14.34 ,No
WDR-06028-345,16-Aug-2019,66508-21373-OQ,L-L-1,1,Ingeberg Mulliner,,United Kingdom,Liberica,Lib,Light,L,1.0 kg, $15.85 , $15.85 ,No
MXM-42948-061,11-Aug-2020,20203-03950-FY,L-L-0.2,4,Geneva Standley,imulliner37@pinterest.com,Ireland,Liberica,Lib,Light,L,0.2 kg, $4.76 , $19.02 ,Yes
MGQ-98961-173,05-Apr-2022,83895-90735-XH,L-L-0.5,4,Brook Drage,gstandley38@dion.ne.jp,United States,Liberica,Lib,Light,L,0.5 kg, $9.51 , $38.04 ,No
RFH-64349-897,22-Oct-2019,61954-61462-RJ,E-D-0.5,3,Muffin Yallop,bdrage39@youku.com,United States,Excelsa,Exc,Dark,D,0.5 kg, $7.29 , $21.87 ,Yes
TKL-20738-660,02-Oct-2021,47939-53158-LS,E-M-0.2,1,Cordi Switsur,myallop3a@fema.gov,United States,Excelsa,Exc,Medium,M,0.2 kg, $4.13 , $4.13 ,No
TKL-20738-660,02-Oct-2021,47939-53158-LS,A-L-0.2,1,Cordi Switsur,myallop3a@fema.gov,United States,Arabica,Ara,Light,L,0.2 kg, $3.89 , $3.89 ,No
TKL-20738-660,02-Oct-2021,47939-53158-LS,E-M-1,5,Cordi Switsur,myallop3a@fema.gov,United States,Excelsa,Exc,Medium,M,1.0 kg, $13.75 , $68.75 ,No
GOW-03198-575,13-Mar-2021,61513-27752-FA,A-D-0.5,4,Mahala Ludwell,sbecaris3d@google.ru,United States,Arabica,Ara,Dark,D,0.5 kg, $5.97 , $23.88 ,Yes
QJB-90477-635,12-Jun-2022,89714-19856-WX,L-L-2.5,4,Doll Beauchamp,mludwell3e@blogger.com,United States,Liberica,Lib,Light,L,2.5 kg, $36.46 , $145.82 ,No
MWP-46239-785,27-Apr-2019,87979-56781-YV,L-M-0.2,5,Stanford Rodliff,dbeauchamp3f@usda.gov,United States,Liberica,Lib,Medium,M,0.2 kg, $4.37 , $21.83 ,Yes
QDV-03406-248,23-May-2019,74126-88836-KA,L-M-0.5,3,Stevana Woodham,srodliff3g@ted.com,Ireland,Liberica,Lib,Medium,M,0.5 kg, $8.73 , $26.19 ,Yes
GPH-40635-105,14-Jul-2020,37397-05992-VO,A-M-1,1,Hewet Synnot,swoodham3h@businesswire.com,United States,Arabica,Ara,Medium,M,1.0 kg, $11.25 , $11.25 ,No
JOM-80930-071,10-Nov-2021,54904-18397-UD,L-D-1,6,Raleigh Lepere,hsynnot3i@about.com,Ireland,Liberica,Lib,Dark,D,1.0 kg, $12.95 , $77.70 ,No
OIL-26493-755,31-Aug-2021,19017-95853-EK,A-M-0.5,1,Timofei Woofinden,rlepere3j@shop-pro.jp,United States,Arabica,Ara,Medium,M,0.5 kg, $6.75 , $6.75 ,No
CYV-13426-645,06-Jul-2019,88593-59934-VU,E-D-1,1,Evelina Dacca,twoofinden3k@businesswire.com,United States,Excelsa,Exc,Dark,D,1.0 kg, $12.15 , $12.15 ,Yes
WRP-39846-614,04-Mar-2022,47493-68564-YM,A-L-2.5,5,Bidget Tremellier,edacca3l@google.pl,Ireland,Arabica,Ara,Light,L,2.5 kg, $29.79 , $148.93 ,Yes
VDZ-76673-968,31-Dec-2020,82246-82543-DW,E-D-0.5,2,Bobinette Hindsberg,,United States,Excelsa,Exc,Dark,D,0.5 kg, $7.29 , $14.58 ,Yes
VTV-03546-175,31-Jul-2020,03384-62101-IY,A-L-2.5,5,Osbert Robins,bhindsberg3n@blogs.com,United States,Arabica,Ara,Light,L,2.5 kg, $29.79 , $148.93 ,Yes
GHR-72274-715,24-May-2021,86881-41559-OR,L-D-1,1,Othello Syseland,orobins3o@salon.com,United States,Liberica,Lib,Dark,D,1.0 kg, $12.95 , $12.95 ,No
ZGK-97262-313,16-Jul-2022,02536-18494-AQ,E-M-2.5,3,Ewell Hanby,osyseland3p@independent.co.uk,United States,Excelsa,Exc,Medium,M,2.5 kg, $31.63 , $94.88 ,Yes
ZFS-30776-804,05-Feb-2021,58638-01029-CB,A-L-0.5,5,Blancha McAmish,jdufaire2d@fc2.com,United States,Arabica,Ara,Light,L,0.5 kg, $7.77 , $38.85 ,Yes
QUU-91729-492,29-Jul-2021,90312-11148-LA,A-D-0.2,4,Lowell Keenleyside,chavenhand3r@1688.com,United States,Arabica,Ara,Dark,D,0.2 kg, $2.99 , $11.94 ,No
PVI-72795-960,17-Mar-2022,68239-74809-TF,E-L-2.5,3,Elonore Joliffe,lkeenleyside3s@topsy.com,Ireland,Excelsa,Exc,Light,L,2.5 kg, $34.16 , $102.47 ,No
PPP-78935-365,11-Feb-2021,91074-60023-IP,E-D-1,4,Abraham Coleman,,United States,Excelsa,Exc,Dark,D,1.0 kg, $12.15 , $48.60 ,No
JUO-34131-517,13-Feb-2019,07972-83748-JI,L-D-1,6,Rivy Farington,,United States,Liberica,Lib,Dark,D,1.0 kg, $12.95 , $77.70 ,Yes
